X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-79.854746,43.260725,"0","0","46",85.4,2025/10/19 18:09:02+00,,,,,,,,,,,,,,,,,,,,,
-79.854722,43.260703,"0","0","47",85.3,2025/10/19 18:09:03+00,,,,,,,,,,,,,,,,,,,,,
-79.854698,43.260683,"0","0","48",85.3,2025/10/19 18:09:04+00,,,,,,,,,,,,,,,,,,,,,
-79.854687,43.260674,"0","0","49",85.3,2025/10/19 18:09:05+00,,,,,,,,,,,,,,,,,,,,,
-79.854644,43.260645,"0","0","50",85.3,2025/10/19 18:09:06+00,,,,,,,,,,,,,,,,,,,,,
-79.854625,43.260613,"0","0","51",85.3,2025/10/19 18:09:07+00,,,,,,,,,,,,,,,,,,,,,
-79.854596,43.260595,"0","0","52",85.3,2025/10/19 18:09:08+00,,,,,,,,,,,,,,,,,,,,,
-79.854568,43.260577,"0","0","53",85.3,2025/10/19 18:09:09+00,,,,,,,,,,,,,,,,,,,,,
-79.854512,43.260522,"0","0","54",85.3,2025/10/19 18:09:10+00,,,,,,,,,,,,,,,,,,,,,
-79.854513,43.260656,"0","0","55",85.3,2025/10/19 18:09:11+00,,,,,,,,,,,,,,,,,,,,,
-79.854582,43.260631,"0","0","56",85.3,2025/10/19 18:09:12+00,,,,,,,,,,,,,,,,,,,,,
-79.854331,43.260716,"0","0","57",85.3,2025/10/19 18:09:13+00,,,,,,,,,,,,,,,,,,,,,
-79.854294,43.260709,"0","0","58",85.3,2025/10/19 18:09:14+00,,,,,,,,,,,,,,,,,,,,,
-79.854366,43.260654,"0","0","59",85.3,2025/10/19 18:09:15+00,,,,,,,,,,,,,,,,,,,,,
