sep=	
time (source1)	x	time (source1)	y	time (source1)	z
4.424	52	4.422	156	4.423	-1036
4.453	48	4.45	160	4.452	-1020
4.481	48	4.482	156	4.481	-1016
4.512	52	4.506	152	4.507	-1028
4.537	52	4.538	156	4.535	-1024
4.566	40	4.565	144	4.564	-1028
4.597	48	4.589	164	4.591	-1024
4.62	48	4.618	156	4.619	-1024
4.649	48	4.649	152	4.647	-1024
4.682	44	4.673	156	4.675	-1016
4.705	48	4.701	156	4.703	-1016
4.732	44	4.732	156	4.732	-1028
4.765	44	4.762	160	4.763	-1020
4.788	48	4.788	156	4.788	-1016
4.818	44	4.816	152	4.819	-1024
4.847	52	4.847	160	4.847	-1020
4.874	44	4.873	156	4.871	-1032
4.904	44	4.9	164	4.9	-1024
4.931	52	4.93	160	4.931	-1020
4.956	44	4.955	160	4.961	-1016
4.986	44	4.986	164	4.988	-1032
5.016	44	5.015	156	5.017	-1016
5.048	52	5.05	156	5.044	-1016
5.073	44	5.072	152	5.072	-1024
5.103	44	5.099	164	5.1	-1028
5.129	44	5.134	160	5.132	-1032
5.165	48	5.154	168	5.155	-1024
5.185	44	5.184	156	5.184	-1032
5.215	48	5.214	156	5.212	-1016
5.241	40	5.238	152	5.24	-1020
5.269	48	5.267	164	5.268	-1024
5.298	48	5.299	164	5.299	-1012
5.329	48	5.329	160	5.323	-1020
5.354	44	5.352	160	5.352	-1020
5.383	44	5.383	164	5.379	-1020
5.415	40	5.406	156	5.408	-1016
5.437	44	5.435	164	5.436	-1024
5.466	48	5.468	168	5.465	-1020
5.5	52	5.494	160	5.491	-1016
5.521	40	5.519	172	5.519	-1024
5.55	40	5.549	164	5.547	-1016
5.581	40	5.574	164	5.575	-1024
5.605	48	5.602	164	5.606	-1016
5.633	44	5.635	172	5.635	-1020
5.667	40	5.666	164	5.663	-1028
5.696	40	5.69	164	5.692	-1008
5.721	44	5.718	164	5.719	-1024
5.749	48	5.751	168	5.749	-1012
5.783	40	5.778	164	5.775	-1024
5.805	48	5.803	164	5.804	-1016
5.835	44	5.833	160	5.832	-1024
5.865	44	5.864	164	5.86	-1020
5.888	44	5.886	160	5.888	-1020
5.918	40	5.915	168	5.916	-1024
5.946	52	5.946	160	5.949	-1024
5.972	52	5.97	164	5.971	-1020
6.001	48	6.002	160	6.001	-1032
6.034	40	6.032	172	6.03	-1024
6.057	52	6.057	164	6.056	-1024
6.087	52	6.083	168	6.083	-1020
6.114	40	6.114	164	6.112	-1020
6.141	48	6.139	160	6.139	-1028
6.169	52	6.168	164	6.169	-1028
6.197	40	6.198	168	6.196	-1024
6.229	64	6.223	168	6.224	-1020
6.254	52	6.251	164	6.252	-1016
6.281	48	6.283	160	6.28	-1024
6.315	52	6.307	164	6.312	-1020
6.337	56	6.335	160	6.339	-1012
6.365	48	6.366	176	6.367	-1016
6.397	44	6.398	164	6.396	-1024
6.424	48	6.423	164	6.423	-1020
6.453	52	6.45	160	6.452	-1020
6.481	48	6.483	160	6.479	-1020
6.514	52	6.506	164	6.508	-1032
6.537	56	6.534	168	6.536	-1028
6.565	52	6.57	164	6.564	-1028
6.601	48	6.59	164	6.591	-1020
6.621	52	6.619	164	6.62	-1020
6.65	52	6.649	168	6.65	-1020
6.68	48	6.678	164	6.675	-1016
6.704	56	6.703	164	6.703	-1024
6.735	52	6.733	172	6.731	-1020
6.766	44	6.757	156	6.76	-1032
6.788	52	6.785	168	6.788	-1036
6.817	48	6.816	164	6.818	-1012
6.846	60	6.846	160	6.847	-1016
6.873	44	6.872	160	6.871	-1028
6.902	48	6.9	164	6.9	-1016
6.931	48	6.93	172	6.927	-1020
6.956	52	6.955	168	6.955	-1020
6.986	56	6.982	168	6.986	-1020
7.013	44	7.015	168	7.016	-1016
7.04	52	7.04	168	7.045	-1024
7.071	48	7.071	172	7.071	-1024
7.101	52	7.1	168	7.101	-1016
7.132	52	7.137	168	7.127	-1016
7.157	48	7.156	164	7.155	-1020
7.188	48	7.181	168	7.184	-1028
7.212	48	7.215	168	7.213	-1012
7.241	44	7.238	160	7.239	-1016
7.269	48	7.267	156	7.268	-1020
7.298	52	7.298	192	7.295	-1016
7.324	56	7.321	176	7.324	-1012
7.352	56	7.351	164	7.354	-1068
7.382	56	7.384	168	7.383	-1028
7.414	40	7.413	152	7.407	-1032
7.44	52	7.437	164	7.436	-1024
7.468	48	7.466	180	7.464	-1016
7.498	36	7.489	164	7.492	-1024
7.521	48	7.518	152	7.519	-992
7.548	36	7.551	176	7.547	-1044
7.583	56	7.574	176	7.575	-1012
7.604	48	7.601	160	7.604	-996
7.632	36	7.636	192	7.634	-1012
7.667	28	7.664	168	7.661	-992
7.688	68	7.688	180	7.69	-1028
7.719	28	7.714	164	7.72	-1008
7.746	40	7.749	196	7.748	-1184
7.781	80	7.773	-320	7.777	-1080
7.804	-8	7.802	276	7.804	-1424
7.833	-196	7.833	120	7.832	-1456
7.862	-108	7.865	268	7.861	-980
7.889	72	7.887	-76	7.888	-944
7.917	76	7.915	92	7.919	-1036
7.947	892	7.948	60	7.946	-996
7.974	596	7.971	140	7.971	-964
8.003	716	8	44	8	-1060
8.03	512	8.031	-4	8.028	-760
8.056	948	8.054	148	8.055	-872
8.085	688	8.083	132	8.084	-892
8.113	308	8.116	20	8.113	-832
8.141	56	8.139	40	8.14	-1168
8.17	-332	8.166	36	8.169	-1096
8.197	-592	8.198	80	8.201	-944
8.224	-408	8.229	36	8.224	-860
8.255	-360	8.253	44	8.252	-1008
8.285	-472	8.282	-40	8.282	-924
8.313	-576	8.314	-8	8.307	-1276
8.338	-204	8.337	76	8.336	-1268
8.367	136	8.366	-20	8.366	-1016
8.398	612	8.396	224	8.397	-1000
8.421	640	8.421	160	8.424	-936
8.451	768	8.451	320	8.451	-1072
8.483	652	8.482	200	8.48	-1072
8.515	772	8.506	252	8.507	-924
8.536	624	8.535	84	8.535	-1028
8.565	316	8.565	116	8.564	-956
8.598	108	8.589	68	8.591	-1088
8.62	-188	8.618	192	8.619	-1240
8.648	-420	8.649	60	8.648	-1004
8.681	-596	8.68	-40	8.676	-1252
8.705	-700	8.703	-72	8.705	-896
8.734	-500	8.733	8	8.732	-848
8.765	-392	8.766	104	8.761	-1060
8.798	-560	8.787	144	8.788	-940
8.817	-164	8.815	152	8.816	-988
8.846	76	8.848	196	8.845	-1092
8.873	512	8.871	144	8.872	-1044
8.901	656	8.9	208	8.9	-1004
8.93	840	8.93	176	8.93	-980
8.956	1040	8.953	208	8.956	-984
8.984	828	8.983	192	8.984	-1144
9.014	392	9.014	140	9.015	-1028
9.041	336	9.038	120	9.039	-1156
9.069	40	9.07	160	9.072	-876
9.1	-108	9.099	56	9.099	-816
9.124	-336	9.135	64	9.127	-1168
9.157	-388	9.155	-404	9.156	-1076
9.185	-584	9.182	16	9.184	-1284
9.213	-108	9.214	-4	9.213	-1172
9.241	-624	9.238	-24	9.24	-952
9.269	-296	9.267	-24	9.268	-1380
9.298	36	9.3	56	9.296	-1052
9.333	96	9.323	256	9.323	-980
9.354	168	9.351	112	9.352	-972
9.381	764	9.382	184	9.38	-1024
9.414	792	9.407	280	9.407	-1156
9.437	716	9.434	212	9.436	-940
9.465	804	9.466	280	9.465	-812
9.498	636	9.497	144	9.495	-664
9.522	48	9.52	164	9.519	-880
9.55	148	9.552	180	9.549	-996
9.583	-4	9.581	176	9.575	-1060
9.605	-292	9.603	164	9.603	-508
9.634	-396	9.634	-44	9.632	-2040
9.666	-236	9.664	-80	9.661	-988
9.689	52	9.687	632	9.688	-1000
9.717	1192	9.716	196	9.717	-1004
9.747	12	9.748	156	9.751	-1008
9.773	40	9.772	148	9.776	-1048
9.802	40	9.818	164	9.804	-1064
9.836	44	9.839	160	9.833	-1048
9.871	52	9.865	156	9.862	-1012
9.889	44	9.888	168	9.887	-1032
9.919	40	9.915	160	9.916	-1020
9.946	56	9.948	168	9.946	-976
9.973	40	9.972	168	9.972	-1032
10.002	40	9.999	240	10	-1060
10.03	52	10.032	432	10.029	-1000
10.057	-116	10.055	212	10.057	-1304
10.085	-4	10.085	180	10.084	-916
10.114	24	10.116	1720	10.113	-620
10.148	-396	10.138	820	10.14	-1076
10.169	328	10.167	1060	10.169	-920
10.199	-332	10.2	452	10.196	-1408
10.231	-160	10.223	68	10.223	-876
10.253	-232	10.252	-228	10.252	-1076
10.282	-88	10.283	-1420	10.281	-744
10.313	100	10.306	-428	10.308	-1028
10.337	-48	10.338	-736	10.336	-1180
10.366	-8	10.372	-676	10.369	-960
10.403	0	10.397	-584	10.392	-1044
10.421	96	10.421	-120	10.422	-900
10.453	-52	10.453	492	10.452	-936
10.485	64	10.483	524	10.484	-1200
10.507	108	10.513	880	10.507	-1028
10.538	8	10.539	360	10.536	-1028
10.568	156	10.567	1276	10.566	-912
10.598	-44	10.59	948	10.596	-1120
10.62	-132	10.621	412	10.619	-1116
10.652	-344	10.651	-500	10.65	-1300
10.682	-172	10.679	-1264	10.675	-976
10.705	16	10.704	-832	10.703	-972
10.735	188	10.735	-800	10.733	-1260
10.767	116	10.766	-544	10.762	-888
10.789	8	10.787	56	10.787	-1164
10.818	116	10.817	280	10.83	-816
10.848	-80	10.848	1000	10.851	-968
10.873	-124	10.885	1480	10.872	-796
10.917	-108	10.905	176	10.901	-912
10.936	52	10.934	1232	10.93	-1048
10.956	-96	10.955	1080	10.955	-1156
10.987	-36	10.985	660	10.984	-1048
11.015	-236	11.016	-360	11.015	-1300
11.04	-268	11.039	-1356	11.039	-1144
11.069	-108	11.07	-1316	11.067	-1096
11.101	284	11.099	-844	11.101	-1156
11.13	40	11.136	-56	11.129	-812
11.156	-56	11.154	160	11.155	-1148
11.186	-92	11.183	204	11.183	-860
11.213	-4	11.216	1240	11.214	-880
11.24	-32	11.238	1304	11.24	-1060
11.269	-64	11.267	936	11.268	-1272
11.298	64	11.3	908	11.297	-1076
11.331	-140	11.323	324	11.324	-1208
11.354	-424	11.352	-544	11.351	-1132
11.382	-4	11.383	-776	11.383	-840
11.415	-92	11.417	-1104	11.407	-1004
11.437	184	11.437	-432	11.436	-1020
11.468	32	11.466	-292	11.463	-944
11.498	76	11.489	424	11.491	-1096
11.52	-88	11.518	564	11.52	-1020
11.549	-28	11.549	520	11.549	-1020
11.58	36	11.58	448	11.575	-1048
11.606	168	11.603	188	11.604	-1016
11.633	92	11.635	124	11.633	-1000
11.668	76	11.664	112	11.66	-1028
11.689	104	11.687	120	11.687	-1036
11.718	56	11.715	88	11.716	-1032
11.745	40	11.744	108	11.746	-1028
11.772	76	11.772	108	11.771	-1020
11.801	64	11.8	108	11.803	-1004
11.831	68	11.831	104	11.832	-1048
11.857	76	11.864	100	11.86	-1032
11.889	88	11.886	116	11.888	-1056
11.918	84	11.915	100	11.916	-1144
11.945	92	11.947	120	11.947	-1156
11.974	56	11.971	220	11.971	-1328
12.001	12	12.001	56	12	-1584
12.03	16	12.031	180	12.027	-1860
12.056	4	12.055	68	12.056	-1880
12.087	-12	12.084	32	12.086	-1808
12.114	-20	12.114	108	12.117	-1272
12.141	40	12.145	-96	12.139	-888
12.171	16	12.169	-324	12.168	-572
12.2	64	12.198	-408	12.195	-512
12.224	168	12.223	-280	12.223	-460
12.254	84	12.251	-88	12.251	-444
12.281	148	12.282	-36	12.28	-384
12.313	72	12.306	-4	12.307	-264
12.337	12	12.334	60	12.336	-204
12.365	4	12.367	20	12.364	-104
12.399	28	12.397	20	12.392	-236
12.422	28	12.421	88	12.419	-340
12.449	12	12.454	120	12.449	-452
12.483	-8	12.48	84	12.475	-648
12.505	-8	12.503	-4	12.506	-892
12.534	-16	12.533	-152	12.536	-1416
12.566	-20	12.566	-164	12.563	-1288
12.591	48	12.59	144	12.592	-1332
12.621	-244	12.619	-228	12.62	-1388
12.649	-240	12.651	1300	12.65	-1336
12.683	1996	12.678	-1500	12.679	-1292
12.705	-2040	12.703	352	12.703	-1784
12.734	184	12.733	248	12.734	-1932
12.765	256	12.765	332	12.762	-1744
12.789	128	12.788	168	12.787	-1688
12.819	-20	12.816	228	12.817	-1020
12.848	-148	12.848	164	12.851	-868
12.872	-172	12.872	-44	12.871	-728
12.903	-92	12.905	56	12.901	-528
12.936	-92	12.934	-144	12.931	-424
12.958	-96	12.955	0	12.955	-240
12.986	-40	12.985	44	12.985	-156
13.015	-24	13.016	8	13.014	-76
13.04	-48	13.039	16	13.039	-104
13.069	-20	13.069	48	13.068	-148
13.099	0	13.1	88	13.101	-216
13.132	24	13.13	108	13.123	-692
13.154	4	13.154	116	13.152	-860
13.185	-12	13.186	112	13.184	-1092
13.218	-48	13.213	52	13.213	-1456
13.239	-36	13.239	16	13.24	-1248
13.27	-44	13.267	156	13.269	-1556
