sep=	
time (source1)	x	time (source1)	y	time (source1)	z
19.277	36	19.276	204	19.269	-1016
19.301	32	19.309	200	19.296	-1020
19.331	40	19.336	200	19.322	-1024
19.36	32	19.36	200	19.345	-1020
19.385	32	19.387	200	19.379	-1020
19.411	36	19.415	200	19.403	-1012
19.435	40	19.444	200	19.436	-1020
19.466	32	19.477	196	19.471	-1024
19.498	36	19.499	196	19.495	-1024
19.528	36	19.532	200	19.517	-1024
19.56	36	19.559	204	19.552	-1016
19.587	28	19.593	196	19.578	-1016
19.616	32	19.619	200	19.602	-1020
19.644	32	19.643	200	19.636	-1012
19.666	24	19.676	196	19.662	-1020
19.697	28	19.698	196	19.683	-1028
19.727	28	19.726	204	19.718	-1000
19.752	32	19.76	196	19.751	-1024
19.783	28	19.792	188	19.78	-1008
19.816	32	19.816	196	19.802	-1020
19.844	28	19.844	200	19.828	-1016
19.871	24	19.866	200	19.855	-1008
19.893	28	19.893	196	19.887	-1016
19.916	36	19.926	200	19.912	-1020
19.949	32	19.951	196	19.937	-1016
19.977	28	19.977	200	19.967	-1020
20.002	36	20.009	204	19.995	-1012
20.034	32	20.034	192	20.025	-1016
20.06	28	20.06	196	20.053	-1016
20.083	28	20.092	200	20.078	-1016
20.122	32	20.114	200	20.101	-1020
20.143	28	20.143	196	20.134	-1024
20.166	32	20.176	204	20.167	-1020
20.2	20	20.21	208	20.202	-1020
20.233	32	20.243	196	20.228	-1016
20.267	32	20.267	200	20.253	-1016
20.294	32	20.294	196	20.29	-1016
20.316	28	20.327	208	20.312	-1020
20.348	36	20.348	200	20.334	-1012
20.377	24	20.376	204	20.368	-1020
20.401	40	20.409	204	20.394	-1012
20.433	24	20.435	200	20.421	-1012
20.46	24	20.459	188	20.454	-1020
20.483	36	20.492	204	20.478	-1012
20.515	36	20.519	196	20.501	-1024
20.544	32	20.543	200	20.535	-1016
20.571	32	20.577	196	20.562	-1020
20.601	32	20.601	208	20.587	-1016
20.627	36	20.627	196	20.62	-1020
20.65	32	20.659	200	20.645	-1028
20.682	28	20.682	200	20.669	-1016
20.71	40	20.71	192	20.705	-1016
20.734	28	20.743	196	20.728	-1024
20.773	20	20.768	196	20.753	-1020
20.794	36	20.793	200	20.787	-1008
20.816	32	20.827	204	20.811	-1032
20.848	36	20.848	188	20.834	-1024
20.877	32	20.876	188	20.873	-1020
20.9	32	20.909	200	20.902	-1004
20.933	36	20.943	204	20.929	-1024
20.964	32	20.966	192	20.952	-1020
20.994	32	20.993	204	20.984	-1016
21.019	40	21.026	192	21.012	-1016
21.05	36	21.051	200	21.045	-1016
21.077	36	21.084	196	21.068	-1016
21.107	28	21.11	196	21.095	-1016
21.135	36	21.136	188	21.12	-1016
21.161	28	21.16	200	21.151	-1012
21.186	32	21.192	196	21.178	-1016
21.223	40	21.22	196	21.203	-1020
21.244	40	21.243	200	21.236	-1016
21.269	32	21.276	200	21.262	-1008
21.298	40	21.299	208	21.295	-1028
21.327	16	21.331	192	21.322	-1012
21.352	32	21.36	196	21.358	-1020
21.384	32	21.395	200	21.378	-1012
21.417	32	21.417	200	21.404	-1008
21.444	40	21.443	192	21.434	-1032
21.469	32	21.476	188	21.461	-992
21.5	36	21.501	220	21.487	-1028
21.527	40	21.526	200	21.521	-1008
21.552	48	21.559	192	21.552	-1016
21.582	28	21.593	192	21.579	-1016
21.615	40	21.624	196	21.604	-1012
21.644	36	21.644	192	21.628	-1020
21.668	36	21.669	204	21.654	-1024
21.694	36	21.693	200	21.685	-1020
21.717	32	21.726	200	21.719	-1016
21.751	32	21.759	196	21.745	-1012
21.784	36	21.784	196	21.773	-1008
21.81	32	21.81	200	21.804	-1016
21.833	24	21.843	200	21.828	-1020
21.866	28	21.866	204	21.852	-1016
21.893	36	21.894	192	21.885	-1016
21.919	36	21.926	200	21.915	-1012
21.951	36	21.95	200	21.945	-1016
21.977	24	21.982	200	21.971	-1012
22.009	32	22.009	200	22.003	-1012
22.035	32	22.042	196	22.029	-1012
22.067	36	22.069	200	22.053	-1016
22.093	36	22.093	200	22.078	-1012
22.121	24	22.117	196	22.102	-1016
22.143	32	22.143	204	22.131	-1012
22.167	32	22.17	192	22.167	-1004
22.198	28	22.205	200	22.19	-1024
22.225	32	22.226	192	22.213	-1020
22.255	32	22.254	196	22.245	-1016
22.28	36	22.288	196	22.278	-1012
22.312	36	22.321	192	22.306	-1012
22.345	32	22.345	196	22.33	-1012
22.371	32	22.371	196	22.364	-1016
22.393	32	22.404	192	22.39	-1008
22.426	32	22.429	204	22.421	-1016
22.455	24	22.456	196	22.432	-1016
22.48	36	22.476	204	22.453	-1020
22.507	40	22.494	184	22.47	-1012
22.517	40	22.511	196	22.498	-1020
22.544	36	22.533	196	22.526	-1024
22.565	28	22.561	192	22.555	-1016
22.583	32	22.581	200	22.582	-1020
22.611	36	22.61	204	22.612	-1004
22.641	28	22.644	200	22.645	-1020
22.667	40	22.665	200	22.666	-1020
22.696	32	22.699	192	22.694	-1020
22.729	36	22.727	200	22.724	-1020
22.751	24	22.747	192	22.75	-1016
22.778	36	22.778	204	22.778	-1020
22.809	28	22.811	208	22.809	-1016
22.842	36	22.832	208	22.836	-1008
22.863	36	22.861	196	22.866	-1020
22.892	32	22.908	196	22.894	-1016
22.941	36	22.928	192	22.923	-1012
22.952	36	22.948	196	22.95	-1016
22.979	32	22.977	200	22.979	-1012
23.007	32	23.01	196	23.008	-1012
23.035	36	23.033	208	23.034	-1024
23.064	32	23.061	200	23.062	-1016
23.092	28	23.093	200	23.095	-1012
23.125	28	23.126	196	23.118	-1012
23.147	32	23.147	204	23.146	-1012
23.179	32	23.177	200	23.174	-1016
23.209	36	23.2	204	23.202	-1020
23.231	32	23.229	196	23.23	-1024
23.26	32	23.26	204	23.259	-1024
23.292	32	23.284	192	23.286	-1020
23.315	32	23.315	196	23.316	-1016
23.345	36	23.346	188	23.346	-1016
23.378	32	23.376	188	23.369	-1024
23.401	36	23.4	204	23.398	-1024
23.43	32	23.432	208	23.427	-1004
23.464	36	23.46	196	23.456	-1016
23.484	32	23.482	200	23.482	-1012
23.514	32	23.509	192	23.511	-1020
23.541	28	23.542	196	23.541	-1024
23.567	28	23.567	196	23.571	-1016
23.599	32	23.597	196	23.598	-1016
23.627	32	23.625	196	23.628	-1012
23.656	32	23.656	200	23.658	-1016
23.683	32	23.682	200	23.682	-1020
23.713	32	23.712	188	23.714	-1024
23.743	32	23.742	200	23.739	-1016
23.767	40	23.77	200	23.766	-1012
23.802	32	23.795	196	23.795	-1020
23.825	28	23.826	204	23.825	-1012
23.852	28	23.85	204	23.85	-1012
23.881	48	23.879	200	23.879	-1012
23.909	32	23.912	200	23.909	-1008
23.935	36	23.934	196	23.935	-1040
23.965	32	23.964	188	23.963	-1012
23.993	32	23.993	212	23.992	-1032
24.025	40	24.017	192	24.018	-1040
24.048	32	24.046	200	24.046	-1024
24.076	44	24.077	200	24.076	-1024
24.108	32	24.1	204	24.102	-1004
24.131	36	24.129	196	24.131	-1012
24.16	24	24.161	204	24.161	-1020
24.193	36	24.191	200	24.186	-1028
24.216	32	24.214	188	24.214	-1012
24.245	36	24.245	192	24.246	-1020
24.278	40	24.276	188	24.274	-1028
24.301	32	24.3	192	24.302	-1024
24.331	40	24.33	208	24.33	-1012
24.359	36	24.361	196	24.358	-1028
24.392	28	24.386	192	24.386	-1012
24.419	36	24.413	196	24.414	-1016
24.444	32	24.443	196	24.442	-1024
24.475	44	24.475	188	24.471	-1020
24.5	40	24.498	192	24.498	-1020
24.528	24	24.525	192	24.527	-1012
24.556	32	24.556	204	24.557	-1016
24.583	28	24.582	204	24.582	-1020
24.613	36	24.61	200	24.611	-1020
24.642	36	24.642	204	24.638	-1008
24.667	36	24.665	200	24.666	-1020
24.697	28	24.693	196	24.695	-1016
24.724	32	24.725	204	24.724	-1012
24.751	32	24.749	188	24.75	-1024
24.781	40	24.781	192	24.778	-1016
24.812	28	24.812	192	24.806	-1016
24.835	24	24.834	200	24.834	-1012
24.864	32	24.86	184	24.862	-1020
24.891	44	24.892	200	24.891	-1016
24.918	32	24.917	196	24.923	-1024
24.948	36	24.945	192	24.95	-1016
24.976	28	24.976	204	24.981	-1020
25.008	36	25.013	196	25.009	-1012
25.041	36	25.035	188	25.034	-1020
25.066	36	25.063	200	25.062	-1020
25.093	32	25.093	204	25.09	-1016
25.119	32	25.117	200	25.118	-1012
25.148	32	25.147	200	25.146	-1016
25.176	32	25.176	204	25.178	-1016
25.208	36	25.206	188	25.203	-1024
25.233	28	25.231	204	25.23	-1016
25.262	32	25.262	196	25.26	-1024
25.294	32	25.291	188	25.286	-1028
25.316	36	25.315	192	25.314	-1020
25.346	28	25.344	196	25.342	-1020
25.376	40	25.368	192	25.37	-1024
25.399	32	25.396	204	25.398	-1016
25.427	28	25.43	192	25.428	-1016
25.462	36	25.464	196	25.456	-1016
25.496	32	25.481	196	25.482	-1020
25.513	28	25.51	192	25.513	-1020
25.54	40	25.541	204	25.541	-1016
25.567	32	25.566	196	25.566	-1020
25.597	32	25.594	188	25.595	-1020
25.625	36	25.627	208	25.626	-1020
25.658	28	25.65	204	25.655	-1020
25.68	32	25.681	200	25.682	-1024
25.711	28	25.709	196	25.711	-1016
25.741	40	25.741	192	25.74	-1016
25.767	32	25.766	204	25.766	-1020
25.796	44	25.795	192	25.794	-1008
25.826	32	25.827	192	25.822	-1016
25.851	28	25.849	200	25.85	-1012
25.881	36	25.879	200	25.878	-1016
25.908	32	25.912	196	25.908	-1020
25.935	32	25.932	200	25.934	-1008
25.963	36	25.963	188	25.963	-1012
25.994	32	25.996	192	25.993	-1016
26.026	36	26.025	192	26.018	-1016
26.048	32	26.048	204	26.046	-1020
26.079	32	26.08	204	26.078	-1012
26.111	44	26.108	204	26.102	-1016
26.132	40	26.13	200	26.13	-1024
26.162	24	26.16	204	26.161	-1012
26.192	28	26.191	192	26.186	-1016
26.216	36	26.214	196	26.214	-1016
26.245	36	26.245	192	26.244	-1024
26.276	36	26.276	196	26.27	-1020
26.299	36	26.298	192	26.3	-1008
26.329	36	26.328	196	26.33	-1012
26.36	32	26.36	192	26.358	-1024
26.391	32	26.384	200	26.386	-1020
26.415	32	26.412	196	26.414	-1024
26.442	36	26.445	192	26.45	-1008
26.477	40	26.474	200	26.477	-1016
26.499	32	26.509	200	26.498	-1016
26.541	28	26.531	200	26.526	-1020
26.563	40	26.557	192	26.555	-1016
26.583	40	26.582	196	26.581	-1012
26.612	36	26.611	204	26.612	-1020
26.64	28	26.641	204	26.644	-1012
26.667	32	26.665	196	26.666	-1028
26.697	44	26.698	192	26.694	-1024
26.73	32	26.726	192	26.722	-1016
26.751	36	26.749	196	26.75	-1024
26.78	36	26.778	204	26.778	-1016
26.807	36	26.808	200	26.808	-1012
26.835	40	26.833	196	26.834	-1020
26.863	28	26.861	196	26.873	-1028
26.892	32	26.899	196	26.893	-1016
26.927	32	26.926	196	26.918	-1016
26.958	28	26.948	184	26.946	-1024
26.978	32	26.977	196	26.975	-1012
27.009	36	27.001	192	27.009	-1012
27.032	36	27.029	196	27.034	-1028
27.06	36	27.065	196	27.065	-1012
27.095	36	27.093	192	27.096	-1020
27.124	40	27.126	204	27.119	-1012
27.151	40	27.15	196	27.146	-1008
27.18	32	27.177	200	27.174	-1024
27.209	32	27.2	192	27.202	-1020
27.231	28	27.23	192	27.23	-1008
27.262	36	27.258	192	27.263	-1012
27.29	32	27.291	192	27.286	-1012
27.315	32	27.315	200	27.314	-1016
27.348	32	27.345	196	27.343	-1008
27.377	32	27.375	196	27.37	-1024
27.4	32	27.398	188	27.399	-1020
27.429	32	27.431	192	27.426	-1020
27.464	36	27.458	184	27.454	-1020
27.485	32	27.482	188	27.482	-1020
27.511	36	27.509	196	27.512	-1016
27.539	40	27.542	196	27.541	-1020
27.567	36	27.567	200	27.565	-1016
27.597	32	27.593	196	27.594	-1012
27.625	28	27.63	196	27.624	-1016
27.652	32	27.649	196	27.65	-1016
27.68	32	27.679	196	27.68	-1028
27.708	36	27.715	196	27.711	-1016
27.735	36	27.744	192	27.738	-1024
27.766	36	27.767	188	27.766	-1020
27.796	32	27.793	196	27.794	-1020
27.824	36	27.824	196	27.825	-1028
27.851	32	27.85	192	27.85	-1016
27.881	32	27.879	200	27.878	-1020
27.909	32	27.913	192	27.909	-1020
27.935	28	27.941	192	27.934	-1016
27.963	32	27.963	204	27.965	-1020
27.993	40	27.992	200	27.995	-1016
28.019	36	28.023	188	28.018	-1020
28.05	32	28.046	192	28.046	-1004
28.078	36	28.078	196	28.074	-1016
28.109	36	28.101	196	28.102	-1012
28.132	36	28.129	192	28.13	-1028
28.16	36	28.159	192	28.158	-1016
28.192	36	28.184	192	28.186	-1012
28.215	32	28.213	200	28.214	-1016
28.244	32	28.245	196	28.244	-1016
28.276	40	28.274	200	28.27	-1016
28.299	40	28.298	192	28.298	-1020
28.33	32	28.333	188	28.327	-1020
28.363	24	28.356	200	28.356	-1016
28.383	28	28.383	196	28.384	-1020
28.413	32	28.41	200	28.414	-1004
28.441	32	28.443	196	28.442	-1016
28.473	32	28.468	192	28.47	-1016
28.499	36	28.496	196	28.498	-1012
28.527	28	28.529	196	28.528	-1016
28.561	32	28.557	196	28.556	-1020
28.583	28	28.581	196	28.582	-1016
28.613	32	28.609	200	28.611	-1016
28.641	36	28.641	204	28.64	-1024
28.667	32	28.666	196	28.666	-1016
28.697	28	28.695	196	28.696	-1012
28.724	28	28.727	204	28.724	-1012
28.751	32	28.751	204	28.75	-1024
28.782	36	28.777	184	28.778	-1016
28.809	32	28.812	196	28.806	-1012
28.834	24	28.834	196	28.834	-1016
28.863	36	28.86	196	28.863	-1024
28.89	24	28.895	200	28.894	-1024
28.927	32	28.918	192	28.918	-1016
28.948	36	28.949	196	28.947	-1020
28.978	36	28.977	196	28.978	-1012
29.008	32	29.007	200	29.002	-1016
29.033	28	29.032	200	29.03	-1020
29.061	36	29.062	200	29.061	-1024
29.094	36	29.09	188	29.092	-1020
29.116	32	29.116	204	29.117	-1016
29.146	32	29.148	196	29.146	-1020
29.177	32	29.177	196	29.175	-1020
29.209	24	29.2	196	29.202	-1008
29.231	28	29.229	192	29.23	-1020
29.26	24	29.259	192	29.259	-1020
29.291	32	29.284	204	29.286	-1020
29.315	32	29.313	196	29.314	-1028
29.344	24	29.345	204	29.342	-1012
29.377	44	29.368	196	29.37	-1016
29.399	44	29.398	200	29.398	-1024
29.428	32	29.43	188	29.428	-1024
29.462	28	29.458	196	29.458	-1016
29.483	36	29.482	192	29.482	-1024
29.512	36	29.511	200	29.516	-1016
29.542	36	29.545	196	29.541	-1012
29.577	36	29.568	188	29.566	-1024
29.601	32	29.597	192	29.594	-1012
29.627	28	29.626	196	29.624	-1024
29.651	40	29.649	204	29.65	-1020
29.68	24	29.677	200	29.678	-1016
29.708	36	29.71	192	29.711	-1012
29.735	36	29.733	200	29.734	-1016
29.764	36	29.764	196	29.764	-1020
29.795	36	29.794	196	29.795	-1016
29.825	36	29.825	196	29.825	-1008
29.85	28	29.849	196	29.85	-1020
29.881	28	29.877	200	29.878	-1024
29.908	32	29.911	196	29.911	-1012
29.942	40	29.933	196	29.933	-1016
29.963	36	29.965	192	29.962	-1016
29.998	36	29.993	188	29.992	-1020
30.019	44	30.017	192	30.018	-1012
30.048	36	30.046	196	30.046	-1008
30.077	40	30.078	192	30.074	-1024
30.109	44	30.1	204	30.102	-1016
30.131	32	30.128	192	30.129	-1028
30.16	40	30.165	192	30.162	-1024
30.196	32	30.191	204	30.186	-1012
30.216	32	30.215	192	30.214	-1012
30.246	40	30.245	188	30.244	-1016
30.277	32	30.274	192	30.27	-1016
30.301	36	30.299	196	30.299	-1024
30.33	24	30.329	196	30.33	-1028
30.361	32	30.358	204	30.356	-1024
30.39	36	30.383	192	30.382	-1024
30.414	32	30.41	200	30.411	-1012
30.441	40	30.442	192	30.438	-1016
30.467	40	30.466	196	30.47	-1016
30.497	36	30.494	204	30.498	-1024
30.525	36	30.529	200	30.528	-1016
30.561	32	30.565	196	30.556	-1016
30.584	28	30.582	200	30.582	-1016
30.613	36	30.61	196	30.612	-1016
30.641	32	30.642	192	30.7	-1012
30.667	32	30.681	196	30.767	-1024
30.697	40	30.788	192	30.79	-1016
30.817	28	30.835	192	30.827	-1024
30.851	36	30.857	196	30.844	-1020
30.89	24	30.891	200	30.851	-1008
30.912	28	30.897	196	30.861	-1020
30.929	32	30.907	200	30.866	-1028
30.934	32	30.912	200	30.884	-1012
30.945	36	30.931	200	30.896	-1016
30.95	36	30.937	192	30.917	-1020
30.968	32	30.948	204	30.949	-1020
30.98	48	30.978	200	30.979	-1020
31.009	32	31.009	204	31.002	-1012
31.034	36	31.034	196	31.031	-1028
31.066	28	31.065	192	31.063	-1012
31.096	28	31.089	196	31.086	-1016
31.117	32	31.116	200	31.114	-1020
31.148	36	31.144	196	31.144	-1020
31.176	44	31.168	200	31.174	-1020
31.199	40	31.201	196	31.202	-1020
31.231	32	31.229	200	31.23	-1020
31.259	32	31.26	196	31.261	-1008
31.291	32	31.289	196	31.286	-1020
31.316	32	31.314	192	31.314	-1020
31.346	32	31.343	196	31.342	-1012
31.375	32	31.368	200	31.37	-1016
31.399	28	31.398	204	31.398	-1028
31.43	36	31.427	196	31.427	-1016
31.459	32	31.461	200	31.456	-1012
31.492	36	31.482	204	31.482	-1008
31.513	40	31.511	200	31.513	-1012
31.542	40	31.54	196	31.542	-1012
31.567	40	31.566	188	31.566	-1016
31.597	32	31.597	196	31.596	-1020
31.628	36	31.627	204	31.624	-1024
31.651	36	31.649	196	31.652	-1012
31.68	32	31.678	192	31.678	-1024
31.708	36	31.711	204	31.707	-1004
31.743	32	31.733	200	31.734	-1020
31.764	40	31.761	192	31.764	-1008
31.794	40	31.799	200	31.79	-1016
31.829	28	31.818	196	31.818	-1012
31.849	32	31.844	192	31.85	-1016
31.875	44	31.877	200	31.878	-1028
31.909	36	31.909	208	31.906	-1024
31.935	32	31.932	196	31.935	-1020
31.963	36	31.961	196	31.963	-1012
31.991	40	31.993	188	31.991	-1020
32.026	32	32.018	188	32.018	-1012
32.048	36	32.045	192	32.046	-1016
32.076	48	32.076	196	32.075	-1016
32.108	32	32.1	200	32.102	-1020
32.131	28	32.129	196	32.133	-1020
32.16	28	32.161	192	32.161	-1024
32.193	40	32.193	196	32.186	-1020
32.219	28	32.215	192	32.214	-1012
32.246	32	32.243	192	32.243	-1012
32.275	40	32.274	192	32.27	-1020
32.299	40	32.298	192	32.297	-1020
32.33	32	32.33	196	32.332	-1024
32.363	40	32.358	192	32.358	-1008
32.382	32	32.385	200	32.382	-1012
32.417	36	32.413	200	32.411	-1024
32.445	36	32.442	196	32.438	-1020
32.467	44	32.467	200	32.466	-1016
32.496	40	32.492	188	32.495	-1024
32.523	36	32.524	200	32.528	-1008
32.551	36	32.549	200	32.554	-1020
32.581	36	32.584	196	32.582	-1016
32.612	36	32.611	204	32.611	-1016
32.64	32	32.641	192	32.641	-1024
32.668	32	32.665	192	32.666	-1020
32.696	40	32.694	196	32.694	-1020
32.726	32	32.726	188	32.727	-1020
32.751	36	32.749	200	32.749	-1020
32.78	32	32.782	196	32.778	-1016
32.814	28	32.81	204	32.807	-1024
32.835	36	32.833	192	32.834	-1012
32.865	32	32.863	196	32.862	-1016
32.893	36	32.892	200	32.89	-1024
32.918	36	32.917	200	32.918	-1016
32.948	24	32.945	200	32.946	-1012
32.975	36	32.98	192	32.979	-1020
33.012	36	33.007	196	33.002	-1024
33.032	32	33.032	196	33.03	-1020
33.063	28	33.062	204	33.061	-1020
33.093	36	33.09	204	33.085	-1016
33.116	36	33.114	200	33.114	-1008
33.145	40	33.143	196	33.143	-1020
33.175	24	33.175	196	33.17	-1016
33.199	32	33.2	196	33.198	-1020
33.228	28	33.227	204	33.228	-1020
33.26	40	33.256	196	33.259	-1012
33.283	32	33.283	200	33.286	-1016
33.313	32	33.313	200	33.314	-1016
33.344	40	33.345	200	33.344	-1020
33.377	32	33.376	196	33.372	-1016
33.4	24	33.399	192	33.398	-1024
33.429	32	33.427	200	33.427	-1016
33.458	36	33.457	200	33.456	-1020
33.483	28	33.481	200	33.484	-1020
33.513	36	33.511	196	33.511	-1008
33.542	32	33.549	196	33.538	-1028
33.58	28	33.565	196	33.565	-1016
33.597	32	33.594	192	33.596	-1016
33.624	32	33.626	192	33.626	-1012
33.651	32	33.649	200	33.649	-1028
33.68	32	33.678	192	33.679	-1020
33.709	32	33.711	196	33.709	-1020
33.735	32	33.733	200	33.734	-1024
33.764	32	33.762	200	33.762	-1016
33.793	32	33.795	200	33.793	-1016
33.826	36	33.817	200	33.817	-1016
33.848	32	33.846	192	33.846	-1024
33.877	36	33.878	200	33.879	-1020
33.909	36	33.909	192	33.909	-1024
33.933	40	33.933	188	33.933	-1012
33.964	32	33.961	200	33.962	-1016
33.992	32	33.993	200	33.991	-1024
34.024	40	34.017	192	34.018	-1012
34.047	28	34.046	196	34.045	-1028
34.077	44	34.076	204	34.078	-1016
34.109	24	34.099	192	34.102	-1016
34.131	28	34.132	200	34.13	-1020
34.163	32	34.159	192	34.158	-1024
34.192	32	34.183	204	34.185	-1016
34.215	28	34.214	200	34.214	-1028
34.244	36	34.244	200	34.245	-1020
34.276	36	34.274	200	34.275	-1020
34.299	32	34.299	204	34.298	-1020
34.33	28	34.331	204	34.329	-1024
34.363	32	34.36	200	34.357	-1012
34.383	32	34.383	200	34.382	-1016
34.414	32	34.411	200	34.414	-1020
34.442	36	34.445	196	34.443	-1016
34.467	40	34.466	200	34.468	-1016
34.498	32	34.496	192	34.5	-1016
34.527	36	34.545	192	34.525	-1020
34.561	28	34.554	208	34.55	-1016
34.585	28	34.578	196	34.578	-1016
34.609	32	34.609	196	34.608	-1028
34.642	32	34.632	192	34.638	-1024
34.663	40	34.663	196	34.665	-1028
34.694	44	34.693	212	34.695	-1012
34.725	40	34.724	192	34.724	-1012
34.75	32	34.749	196	34.75	-1024
34.781	32	34.777	192	34.778	-1024
34.808	40	34.808	196	34.806	-1008
34.834	40	34.833	192	34.835	-1024
34.863	32	34.861	196	34.862	-1024
34.891	32	34.899	192	34.894	-1020
34.931	36	34.917	200	34.918	-1024
34.948	44	34.949	192	34.946	-1024
34.979	28	34.978	192	34.975	-1020
35.01	32	35.001	204	35.002	-1024
35.031	36	35.029	192	35.033	-1016
35.06	36	35.059	196	35.06	-1012
35.092	28	35.096	196	35.086	-1020
35.126	32	35.115	196	35.114	-1012
35.145	32	35.144	204	35.142	-1020
35.176	32	35.168	200	35.169	-1020
35.199	28	35.197	192	35.198	-1008
35.228	36	35.228	204	35.232	-1020
35.26	28	35.26	196	35.256	-1020
35.283	28	35.292	188	35.284	-1008
35.318	32	35.311	192	35.314	-1012
35.342	24	35.344	196	35.344	-1008
35.374	28	35.373	196	35.37	-1020
35.398	32	35.397	188	35.398	-1024
35.428	32	35.428	196	35.427	-1020
35.46	36	35.457	200	35.454	-1012
35.482	40	35.483	204	35.482	-1016
35.513	32	35.51	200	35.511	-1024
35.539	32	35.541	188	35.54	-1012
35.567	32	35.566	192	35.566	-1012
35.596	28	35.595	188	35.594	-1016
35.626	36	35.626	196	35.627	-1016
35.652	36	35.648	204	35.65	-1020
35.679	36	35.681	196	35.678	-1020
35.712	44	35.709	192	35.707	-1020
35.735	44	35.733	196	35.734	-1012
35.764	36	35.762	192	35.762	-1020
35.792	36	35.794	200	35.79	-1028
35.825	28	35.817	192	35.818	-1024
35.847	36	35.845	204	35.846	-1012
35.875	28	35.88	184	35.875	-1012
35.912	40	35.901	200	35.902	-1020
35.931	32	35.929	200	35.93	-1020
35.961	36	35.96	188	35.963	-1020
35.991	28	35.992	200	35.991	-1024
36.018	28	36.016	188	36.018	-1020
36.048	32	36.044	196	36.046	-1016
36.075	44	36.08	196	36.074	-1020
36.112	40	36.1	200	36.101	-1012
36.131	32	36.129	192	36.13	-1016
36.159	40	36.16	196	36.163	-1012
36.192	40	36.191	196	36.186	-1020
36.216	40	36.216	188	36.215	-1012
36.248	32	36.245	196	36.243	-1020
36.277	32	36.277	196	36.27	-1012
36.309	44	36.298	196	36.298	-1020
36.33	36	36.328	196	36.327	-1016
36.36	36	36.358	204	36.356	-1028
36.384	36	36.382	192	36.382	-1028
36.413	36	36.41	196	36.415	-1020
36.441	28	36.442	196	36.443	-1012
36.466	28	36.468	200	36.465	-1020
36.5	32	36.496	196	36.494	-1020
36.527	36	36.525	200	36.523	-1020
36.551	32	36.55	196	36.55	-1008
36.58	32	36.577	196	36.578	-1020
36.608	32	36.609	200	36.61	-1016
36.64	36	36.643	192	36.634	-1008
36.663	32	36.663	200	36.662	-1024
36.694	36	36.699	188	36.694	-1020
36.726	36	36.718	196	36.724	-1020
36.749	36	36.748	200	36.75	-1008
36.779	32	36.778	192	36.778	-1012
36.808	32	36.812	200	36.805	-1016
36.835	32	36.834	200	36.833	-1008
36.865	44	36.86	192	36.862	-1016
36.891	36	36.897	192	36.89	-1020
36.926	28	36.917	200	36.917	-1020
36.948	32	36.945	196	36.946	-1028
36.975	40	36.977	192	36.974	-1020
37.009	32	37.001	204	37.002	-1020
37.031	32	37.03	204	37.03	-1020
37.06	32	37.061	192	37.058	-1024
37.091	36	37.084	192	37.085	-1016
37.115	36	37.112	196	37.114	-1020
37.142	32	37.144	196	37.141	-1012
37.176	32	37.167	204	37.169	-1024
37.198	24	37.196	196	37.198	-1016
37.227	36	37.228	200	37.228	-1024
37.26	28	37.259	184	37.258	-1016
37.283	32	37.282	200	37.282	-1028
37.314	32	37.311	196	37.312	-1016
37.343	24	37.344	200	37.341	-1016
37.367	32	37.365	200	37.369	-1020
37.397	32	37.396	196	37.397	-1016
37.425	28	37.429	188	37.429	-1024
37.46	28	37.46	200	37.458	-1012
37.483	36	37.484	200	37.482	-1016
37.515	28	37.511	200	37.512	-1020
37.543	32	37.542	196	37.544	-1012
37.567	32	37.578	196	37.566	-1020
37.599	36	37.597	200	37.594	-1008
37.628	28	37.626	196	37.624	-1020
37.65	32	37.649	196	37.649	-1020
37.679	32	37.677	200	37.679	-1020
37.708	32	37.709	200	37.71	-1020
37.734	36	37.734	200	37.734	-1008
37.766	36	37.762	192	37.762	-1016
37.794	32	37.794	196	37.791	-1024
37.819	40	37.816	192	37.818	-1020
37.847	32	37.845	200	37.848	-1020
37.876	36	37.876	196	37.878	-1016
37.909	32	37.908	184	37.901	-1020
37.933	40	37.931	196	37.93	-1020
37.963	28	37.965	200	37.958	-1024
37.997	28	37.984	192	37.986	-1024
38.015	32	38.012	196	38.014	-1016
38.044	32	38.045	196	38.048	-1016
38.077	36	38.074	200	38.075	-1012
38.099	32	38.102	200	38.103	-1012
38.133	36	38.13	200	38.131	-1020
38.16	24	38.164	188	38.165	-1020
38.196	28	38.195	200	38.185	-1016
38.216	36	38.217	192	38.214	-1016
38.249	40	38.245	196	38.242	-1028
38.277	44	38.268	196	38.269	-1016
38.298	32	38.298	192	38.301	-1016
38.328	36	38.328	196	38.329	-1020
38.36	36	38.365	192	38.357	-1008
38.386	32	38.382	196	38.382	-1020
38.413	36	38.412	196	38.413	-1016
38.444	28	38.443	196	38.443	-1016
38.467	28	38.466	188	38.466	-1012
38.497	40	38.496	192	38.503	-1016
38.527	40	38.526	192	38.529	-1016
38.551	40	38.563	192	38.55	-1020
38.595	32	38.583	200	38.578	-1020
38.613	36	38.612	208	38.608	-1016
38.643	36	38.632	188	38.634	-1016
38.663	36	38.663	196	38.662	-1012
38.694	40	38.695	192	38.7	-1032
38.727	32	38.726	204	38.718	-1012
38.749	36	38.758	196	38.748	-1016
38.784	40	38.777	196	38.778	-1024
38.81	32	38.809	192	38.807	-1008
38.833	40	38.831	196	38.834	-1016
38.863	36	38.861	200	38.862	-1020
