X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-79.855199,43.259769,"0","0","54",86,2025/10/26 01:32:33+00,,,,,,,,,,,,,,,,,,,,,
-79.855199,43.259769,"0","0","55",86,2025/10/26 01:32:34+00,,,,,,,,,,,,,,,,,,,,,
-79.855199,43.259769,"0","0","56",86,2025/10/26 01:32:35+00,,,,,,,,,,,,,,,,,,,,,
-79.855199,43.259769,"0","0","57",86,2025/10/26 01:32:36+00,,,,,,,,,,,,,,,,,,,,,
-79.855199,43.259769,"0","0","58",86,2025/10/26 01:32:37+00,,,,,,,,,,,,,,,,,,,,,
-79.855199,43.259769,"0","0","59",86,2025/10/26 01:32:38+00,,,,,,,,,,,,,,,,,,,,,
-79.855199,43.259769,"0","0","60",86,2025/10/26 01:32:39+00,,,,,,,,,,,,,,,,,,,,,
-79.855193,43.259765,"0","0","61",86,2025/10/26 01:32:40+00,,,,,,,,,,,,,,,,,,,,,
-79.855197,43.259758,"0","0","62",86,2025/10/26 01:32:41+00,,,,,,,,,,,,,,,,,,,,,
-79.855202,43.25975,"0","0","63",86,2025/10/26 01:32:42+00,,,,,,,,,,,,,,,,,,,,,
-79.855206,43.259742,"0","0","64",86,2025/10/26 01:32:43+00,,,,,,,,,,,,,,,,,,,,,
-79.855208,43.259736,"0","0","65",86,2025/10/26 01:32:44+00,,,,,,,,,,,,,,,,,,,,,
-79.85521,43.259728,"0","0","66",86,2025/10/26 01:32:45+00,,,,,,,,,,,,,,,,,,,,,
-79.855213,43.259719,"0","0","67",86,2025/10/26 01:32:46+00,,,,,,,,,,,,,,,,,,,,,
-79.855216,43.259711,"0","0","68",86,2025/10/26 01:32:47+00,,,,,,,,,,,,,,,,,,,,,
-79.855218,43.259705,"0","0","69",86,2025/10/26 01:32:48+00,,,,,,,,,,,,,,,,,,,,,
-79.855218,43.259699,"0","0","70",86,2025/10/26 01:32:49+00,,,,,,,,,,,,,,,,,,,,,
-79.855217,43.259692,"0","0","71",86,2025/10/26 01:32:50+00,,,,,,,,,,,,,,,,,,,,,
-79.855216,43.259685,"0","0","72",86,2025/10/26 01:32:51+00,,,,,,,,,,,,,,,,,,,,,
-79.855217,43.259678,"0","0","73",86,2025/10/26 01:32:52+00,,,,,,,,,,,,,,,,,,,,,
-79.855221,43.259672,"0","0","74",86,2025/10/26 01:32:53+00,,,,,,,,,,,,,,,,,,,,,
-79.855221,43.259672,"0","0","75",86,2025/10/26 01:32:54+00,,,,,,,,,,,,,,,,,,,,,
-79.855221,43.259672,"0","0","76",86,2025/10/26 01:32:55+00,,,,,,,,,,,,,,,,,,,,,
-79.855221,43.259672,"0","0","77",86,2025/10/26 01:32:56+00,,,,,,,,,,,,,,,,,,,,,
-79.855221,43.259672,"0","0","78",86,2025/10/26 01:32:57+00,,,,,,,,,,,,,,,,,,,,,
-79.855221,43.259672,"0","0","79",86,2025/10/26 01:32:58+00,,,,,,,,,,,,,,,,,,,,,
-79.855239,43.259664,"0","0","80",86,2025/10/26 01:32:59+00,,,,,,,,,,,,,,,,,,,,,
-79.855245,43.259655,"0","0","81",86,2025/10/26 01:33:00+00,,,,,,,,,,,,,,,,,,,,,
-79.855248,43.259644,"0","0","82",86,2025/10/26 01:33:01+00,,,,,,,,,,,,,,,,,,,,,
